GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Dependency-Check Build-Reporting/dependency-check-utils,org.owasp.dependencycheck.utils,DownloadFailedException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Build-Reporting/dependency-check-utils,org.owasp.dependencycheck.utils,Downloader,603,212,55,21,92,59,37,10,1,8
Dependency-Check Build-Reporting/dependency-check-utils,org.owasp.dependencycheck.utils,InvalidSettingException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Build-Reporting/dependency-check-utils,org.owasp.dependencycheck.utils,SSLSocketFactoryEx,165,139,5,9,36,33,14,9,11,5
Dependency-Check Build-Reporting/dependency-check-utils,org.owasp.dependencycheck.utils,URLConnectionFactory,190,92,39,5,40,30,21,7,1,5
Dependency-Check Build-Reporting/dependency-check-utils,org.owasp.dependencycheck.utils,FileUtils,43,61,8,8,11,15,9,7,2,6
Dependency-Check Build-Reporting/dependency-check-utils,org.owasp.dependencycheck.utils,URLConnectionFactory.new Authenticator() {...},58,0,6,0,10,0,5,0,2,0
Dependency-Check Build-Reporting/dependency-check-utils,org.owasp.dependencycheck.utils,URLConnectionFailureException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Build-Reporting/dependency-check-utils,org.owasp.dependencycheck.utils,Settings,387,454,55,47,50,113,48,37,8,26
Dependency-Check Build-Reporting/dependency-check-utils,org.owasp.dependencycheck.utils,Checksum,125,130,14,10,20,25,16,7,6,5
Dependency-Check Build-Reporting/dependency-check-utils,org.owasp.dependencycheck.utils,XmlUtils,79,103,20,4,11,28,16,4,2,4
Dependency-Check Build-Reporting/dependency-check-utils,org.owasp.dependencycheck.utils,ExpectedObjectInputStream,32,0,2,0,7,0,3,0,2,0
Dependency-Check Build-Reporting/dependency-check-utils,org.owasp.dependencycheck.utils,ExtractionException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Build-Reporting/dependency-check-utils,org.owasp.dependencycheck.utils,Settings.KEYS,3,0,0,0,2,0,1,0,1,0
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck,Engine,375,1001,40,98,92,252,45,73,13,36
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck,Engine.Mode,9,103,0,0,0,10,2,4,2,4
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck,AnalysisTask,52,57,0,4,8,16,0,6,0,4
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,NuspecAnalyzer,42,117,8,4,3,28,6,8,0,8
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,AbstractSuppressionAnalyzer,192,244,36,20,36,57,26,11,3,6
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,OpenSSLAnalyzer,25,177,8,6,3,31,7,10,0,10
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,PythonPackageAnalyzer,245,60,20,0,54,13,19,4,9,4
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,RubyGemspecAnalyzer,290,24,22,0,59,6,19,3,8,3
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,NodePackageAnalyzer,240,21,26,0,48,5,19,3,6,3
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,DependencyMergingAnalyzer,191,72,45,11,37,17,29,10,1,10
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,AbstractFileTypeAnalyzer,6,59,1,7,1,20,1,9,0,6
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,CMakeAnalyzer,222,34,10,0,56,6,11,3,6,3
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,AssemblyAnalyzer,498,197,67,13,106,44,42,9,2,9
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,VulnerabilitySuppressionAnalyzer,0,12,0,0,0,5,0,5,0,5
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,ComposerLockAnalyzer,196,19,14,0,34,4,12,3,5,3
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,AnalyzerService,9,86,2,10,3,25,3,8,1,4
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,AbstractAnalyzer,17,66,0,6,4,25,0,15,0,12
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,CocoaPodsAnalyzer,216,21,20,0,49,5,17,3,7,3
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,AnalysisPhase,5,123,0,0,0,12,1,3,1,3
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,CPEAnalyzer,93,974,18,118,32,207,18,69,0,19
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,AutoconfAnalyzer,226,66,34,0,51,9,25,3,8,3
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,VersionFilterAnalyzer,0,249,7,63,0,35,7,34,0,6
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,ArchiveAnalyzer,539,742,83,83,83,156,63,41,0,21
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,NexusAnalyzer,262,56,41,1,58,18,24,9,3,9
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,CentralAnalyzer,136,213,23,21,32,58,16,18,1,11
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,FileNameAnalyzer,0,129,1,7,0,19,1,9,0,6
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,JarAnalyzer,613,2398,158,298,68,432,132,125,1,28
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,NspAnalyzer,226,467,31,29,40,86,26,15,1,10
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,RubyBundleAuditAnalyzer,845,130,103,5,179,34,61,8,7,8
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,AbstractDependencyComparingAnalyzer,3,84,0,14,1,21,1,11,1,4
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,FalsePositiveAnalyzer,267,837,97,149,38,149,77,62,0,16
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,CPEAnalyzer.IdentifierMatch,123,46,20,0,22,9,16,5,6,5
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,RubyBundlerAnalyzer,138,3,30,0,30,1,18,1,3,1
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,RubyGemspecAnalyzer.new FilenameFilter() {...},10,0,0,0,2,0,2,0,2,0
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,SwiftPackageManagerAnalyzer,127,22,16,0,35,5,15,3,7,3
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,HintAnalyzer,269,365,39,49,58,79,22,32,0,10
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,NvdCveAnalyzer,12,69,1,7,4,20,1,8,0,5
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,CpeSuppressionAnalyzer,0,12,0,0,0,5,0,5,0,5
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,PythonDistributionAnalyzer,435,91,64,0,94,13,44,3,12,3
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,RubyBundlerAnalyzer.new FilenameFilter() {...},14,0,0,0,2,0,2,0,2,0
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,CPEAnalyzer.IdentifierConfidence,9,39,0,0,0,4,2,2,2,2
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,JarAnalyzer.ClassNameInformation,7,71,0,8,3,17,2,6,2,2
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer,DependencyBundlingAnalyzer,183,543,72,100,41,102,60,44,3,15
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.nuget,NugetPackage,148,42,30,0,15,18,18,12,3,12
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.nuget,XPathNuspecParser,12,97,4,6,3,16,4,4,0,3
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.nuget,NuspecParseException,12,0,0,0,6,0,3,0,3,0
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.exception,ScanAgentException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.exception,InitializationException,24,22,0,0,8,7,4,3,4,3
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.exception,DependencyNotFoundException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.exception,H2DBLockException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.exception,NoDataException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.exception,ReportException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.exception,ExceptionCollection,131,79,4,6,39,21,13,7,10,5
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.nvdcve,DriverShim,112,22,14,0,25,5,16,3,9,3
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.nvdcve,DatabaseProperties,16,127,3,9,4,29,3,12,0,9
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.nvdcve,DriverLoader,169,33,10,0,32,11,7,4,2,4
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.nvdcve,CveDB,424,1332,30,132,95,336,29,81,2,27
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.nvdcve,CorruptDatabaseException,9,0,0,0,4,0,2,0,2,0
